iter	Passed	Remaining
0	48	48764
1	49	24811
2	50	16790
3	51	12793
4	52	10390
5	53	8783
6	53	7640
7	54	6781
8	55	6113
9	56	5573
10	57	5149
11	58	4790
12	59	4479
13	59	4210
14	60	3979
15	61	3773
16	62	3594
17	63	3444
18	63	3302
19	64	3173
20	65	3057
21	66	2951
22	67	2852
23	67	2764
24	68	2682
25	69	2605
26	70	2535
27	71	2468
28	71	2407
29	72	2352
30	73	2299
31	74	2250
32	75	2204
33	75	2159
34	76	2117
35	77	2079
36	78	2043
37	79	2010
38	80	1978
39	81	1947
40	81	1916
41	82	1886
42	83	1858
43	84	1833
44	85	1807
45	85	1782
46	86	1759
47	87	1736
48	88	1715
49	89	1695
50	90	1675
51	90	1656
52	91	1637
53	92	1618
54	93	1602
55	94	1584
56	94	1568
57	95	1552
58	96	1539
59	97	1524
60	98	1510
61	98	1497
62	99	1484
63	100	1471
64	101	1458
65	102	1446
66	103	1434
67	103	1422
68	104	1413
69	105	1402
70	106	1393
71	107	1383
72	108	1372
73	108	1362
74	109	1352
75	110	1343
76	111	1333
77	112	1324
78	112	1315
79	113	1306
80	114	1298
81	115	1289
82	115	1277
83	116	1271
84	117	1264
85	118	1256
86	119	1249
87	119	1241
88	120	1234
89	122	1234
90	122	1228
91	123	1221
92	124	1215
93	125	1209
94	126	1203
95	127	1196
96	127	1190
97	128	1184
98	129	1178
99	130	1172
100	130	1165
101	131	1158
102	132	1153
103	133	1148
104	134	1143
105	134	1136
106	135	1130
107	136	1124
108	136	1118
109	137	1112
110	138	1105
111	138	1099
112	139	1092
113	139	1085
114	140	1078
115	140	1072
116	141	1064
117	141	1058
118	142	1052
119	142	1046
120	143	1040
121	143	1033
122	144	1028
123	144	1022
124	145	1016
125	145	1011
126	146	1004
127	146	998
128	147	993
129	147	987
130	147	981
131	148	975
132	148	970
133	149	965
134	149	960
135	150	955
136	150	949
137	151	944
138	151	939
139	152	934
140	152	929
141	152	923
142	153	918
143	153	913
144	154	908
145	154	903
146	154	898
147	155	893
148	155	888
149	156	884
150	156	879
151	156	874
152	157	870
153	157	865
154	158	862
155	158	858
156	159	854
157	159	850
158	159	846
159	160	842
160	160	837
161	161	833
162	161	829
163	161	825
164	162	823
165	163	821
166	163	817
167	164	813
168	164	810
169	165	806
170	165	803
171	166	799
172	166	796
173	166	792
174	167	789
175	167	786
176	168	782
177	168	779
178	169	775
179	169	772
180	169	769
181	170	765
182	170	762
183	171	759
184	171	756
185	172	752
186	172	749
187	172	746
188	173	743
189	173	740
190	174	737
191	174	733
192	174	730
193	175	728
194	175	725
195	176	722
196	176	719
197	177	717
198	177	714
199	178	712
200	178	709
201	178	706
202	179	704
203	179	701
204	180	698
205	180	695
206	180	693
207	181	690
208	181	687
209	182	684
210	182	682
211	182	679
212	183	677
213	183	674
214	184	672
215	184	670
216	184	667
217	185	665
218	185	662
219	186	660
220	186	658
221	187	655
222	187	653
223	187	650
224	188	648
225	188	646
226	189	643
227	189	641
228	189	639
229	190	636
230	190	634
231	191	632
232	191	630
233	191	628
234	192	625
235	192	623
236	193	621
237	193	619
238	194	619
239	194	617
240	195	615
241	195	613
242	196	611
243	196	609
244	197	607
245	197	605
246	197	603
247	198	601
248	198	599
249	199	597
250	199	595
251	200	593
252	200	592
253	200	590
254	201	588
255	201	586
256	202	584
257	202	582
258	203	580
259	203	579
260	203	577
261	204	575
262	204	573
263	205	572
264	205	570
265	205	568
266	206	566
267	206	564
268	207	563
269	207	561
270	208	559
271	208	557
272	208	556
273	209	554
274	209	552
275	210	551
276	210	549
277	210	547
278	211	546
279	211	544
280	212	542
281	212	541
282	212	539
283	213	537
284	213	536
285	214	534
286	214	533
287	214	531
288	215	529
289	215	528
290	216	526
291	216	525
292	216	523
293	217	522
294	217	520
295	218	519
296	218	517
297	219	515
298	219	514
299	219	513
300	220	511
301	220	510
302	221	508
303	221	507
304	221	505
305	222	504
306	222	502
307	223	501
308	223	499
309	223	498
310	224	497
311	224	495
312	225	494
313	225	492
314	225	491
315	226	489
316	226	488
317	227	487
318	227	486
319	228	484
320	228	483
321	228	481
322	229	480
323	229	479
324	230	478
325	230	476
326	230	475
327	231	474
328	231	472
329	232	471
330	232	470
331	232	468
332	233	467
333	233	465
334	234	464
335	234	463
336	234	462
337	235	460
338	235	459
339	236	458
340	236	457
341	236	455
342	237	454
343	237	453
344	238	452
345	238	450
346	239	449
347	239	448
348	239	447
349	240	446
350	240	444
351	240	443
352	241	442
353	241	441
354	242	439
355	242	438
356	242	437
357	243	436
358	243	435
359	244	434
360	244	432
361	244	431
362	245	430
363	245	429
364	246	428
365	246	426
366	246	425
367	247	424
368	247	423
369	248	422
370	248	421
371	248	420
372	249	419
373	249	418
374	250	417
375	250	415
376	250	414
377	251	413
378	251	412
379	252	411
380	252	410
381	252	409
382	253	408
383	253	407
384	254	405
385	254	404
386	254	403
387	255	402
388	255	401
389	256	400
390	256	399
391	256	398
392	257	397
393	257	396
394	258	395
395	258	394
